year,quarter,segment,incoming_count,incoming_pct,outgoing_count,outgoing_pct,avg_outgoing_tenure_years,company_count
2025,4,Nikkei225,0,0.0,1,0.4,5.2,224
2025,4,NSENifty50,2,4.0,2,4.0,1.4,50
2025,4,SPTSX Composite,3,1.3,6,2.6,6.2,213
2025,4,STI,1,3.3,2,6.7,5.1,30
2025,4,SMI,0,0.0,0,0.0,0.0,21
2026,1,Global,77,4.2,55,3,10.0,1867
2026,1,SP500,22,4.4,22,4.4,11.8,500
2026,1,FTSE100,5,5,1,1,12.5,100
2026,1,ASX200,11,5.5,7,3.5,5.7,201
2026,1,CAC40,1,2.5,1,2.5,6.5,40
2026,1,DAX40,2,5,0,0,0.0,40
2026,1,EuroNext100,2,2,2,2,14.5,100
2026,1,FTSE250,10,4,5,2,8.1,250
2026,1,HANGSENG,5,5.6,3,3.3,3.4,90
2026,1,Nikkei225,6,2.7,5,2.2,7.4,225
2026,1,NSENifty50,3,6,2,4,11.3,50
2026,1,SPTSX Composite,8,3.5,6,2.6,11.7,221
2026,1,STI,1,3.3,0,0,0.0,30
2026,1,SMI,1,4.8,1,4.8,20.9,20
