year,quarter,segment,flow,split_type,split_value,count_value,pct_value
2020,1,Consumer,incoming,appointment,Internal,8,57.1
2020,1,Consumer,incoming,appointment,External,6,42.9
2020,1,Consumer,incoming,first_timer,Yes,,
2020,1,Consumer,incoming,first_timer,No,,
2020,1,Consumer,outgoing,gender,Men,18,94.7
2020,1,Consumer,outgoing,gender,Women,1,5.3
2020,1,Consumer,outgoing,appointment,Internal,16,84.2
2020,1,Consumer,outgoing,appointment,External,3,15.8
2020,1,Consumer,outgoing,first_timer,Yes,,
2020,1,Consumer,outgoing,first_timer,No,,
2020,1,Financial Services,incoming,gender,Men,11,84.6
2020,1,Financial Services,incoming,gender,Women,2,15.4
2020,1,Financial Services,incoming,appointment,Internal,10,76.9
2020,1,Financial Services,incoming,appointment,External,3,23.1
2020,1,Financial Services,incoming,first_timer,Yes,,
2020,1,Financial Services,incoming,first_timer,No,,
2020,1,Financial Services,outgoing,gender,Men,12,100.0
2020,1,Financial Services,outgoing,gender,Women,0,0.0
2020,1,Financial Services,outgoing,appointment,Internal,9,75.0
2020,1,Financial Services,outgoing,appointment,External,3,25.0
2020,1,Financial Services,outgoing,first_timer,Yes,,
2020,1,Financial Services,outgoing,first_timer,No,,
2020,1,Healthcare,incoming,gender,Men,3,75.0
2020,1,Healthcare,incoming,gender,Women,1,25.0
2020,1,Healthcare,incoming,appointment,Internal,4,100.0
2020,1,Healthcare,incoming,appointment,External,0,0.0
2020,1,Healthcare,incoming,first_timer,Yes,,
2020,1,Healthcare,incoming,first_timer,No,,
2020,1,Healthcare,outgoing,gender,Men,2,100.0
2020,1,Healthcare,outgoing,gender,Women,0,0.0
2020,1,Healthcare,outgoing,appointment,Internal,1,50.0
2020,1,Healthcare,outgoing,appointment,External,1,50.0
2020,1,Healthcare,outgoing,first_timer,Yes,,
2020,1,Healthcare,outgoing,first_timer,No,,
2020,1,Industrial,incoming,gender,Men,,
2020,1,Industrial,incoming,gender,Women,,
2020,1,Industrial,incoming,appointment,Internal,,
2020,1,Industrial,incoming,appointment,External,,
2020,1,Industrial,incoming,first_timer,Yes,,
2020,1,Industrial,incoming,first_timer,No,,
2020,1,Industrial,outgoing,gender,Men,,
2020,1,Industrial,outgoing,gender,Women,,
2020,1,Industrial,outgoing,appointment,Internal,,
2020,1,Industrial,outgoing,appointment,External,,
2020,1,Industrial,outgoing,first_timer,Yes,,
2020,1,Industrial,outgoing,first_timer,No,,
2020,1,Technology,incoming,gender,Men,5,100.0
2020,1,Technology,incoming,gender,Women,0,0.0
2020,1,Technology,incoming,appointment,Internal,3,60.0
2020,1,Technology,incoming,appointment,External,2,40.0
2020,1,Technology,incoming,first_timer,Yes,,
2020,1,Technology,incoming,first_timer,No,,
2020,1,Technology,outgoing,gender,Men,4,100.0
2020,1,Technology,outgoing,gender,Women,0,0.0
2020,1,Technology,outgoing,appointment,Internal,3,75.0
2020,1,Technology,outgoing,appointment,External,1,25.0
2020,1,Technology,outgoing,first_timer,Yes,,
