year,quarter,segment,flow,split_type,split_value,count_value,pct_value
2019,3,NSENifty50,outgoing,appointment,Internal,,
2019,3,NSENifty50,outgoing,appointment,External,,
2019,3,NSENifty50,outgoing,first_timer,Yes,,
2019,3,NSENifty50,outgoing,first_timer,No,,
2019,3,SPTSX Composite,incoming,gender,Men,2,100.0
2019,3,SPTSX Composite,incoming,gender,Women,0,0.0
2019,3,SPTSX Composite,incoming,appointment,Internal,1,50.0
2019,3,SPTSX Composite,incoming,appointment,External,1,50.0
2019,3,SPTSX Composite,incoming,first_timer,Yes,,
2019,3,SPTSX Composite,incoming,first_timer,No,,
2019,3,SPTSX Composite,outgoing,gender,Men,3,100.0
2019,3,SPTSX Composite,outgoing,gender,Women,0,0.0
2019,3,SPTSX Composite,outgoing,appointment,Internal,3,100.0
2019,3,SPTSX Composite,outgoing,appointment,External,0,0.0
2019,3,SPTSX Composite,outgoing,first_timer,Yes,,
2019,3,SPTSX Composite,outgoing,first_timer,No,,
2019,3,STI,incoming,gender,Men,,
2019,3,STI,incoming,gender,Women,,
2019,3,STI,incoming,appointment,Internal,,
2019,3,STI,incoming,appointment,External,,
2019,3,STI,incoming,first_timer,Yes,,
2019,3,STI,incoming,first_timer,No,,
2019,3,STI,outgoing,gender,Men,,
2019,3,STI,outgoing,gender,Women,,
2019,3,STI,outgoing,appointment,Internal,,
2019,3,STI,outgoing,appointment,External,,
2019,3,STI,outgoing,first_timer,Yes,,
2019,3,STI,outgoing,first_timer,No,,
2019,3,SMI,incoming,gender,Men,,
2019,3,SMI,incoming,gender,Women,,
2019,3,SMI,incoming,appointment,Internal,,
2019,3,SMI,incoming,appointment,External,,
2019,3,SMI,incoming,first_timer,Yes,,
2019,3,SMI,incoming,first_timer,No,,
2019,3,SMI,outgoing,gender,Men,,
2019,3,SMI,outgoing,gender,Women,,
2019,3,SMI,outgoing,appointment,Internal,,
2019,3,SMI,outgoing,appointment,External,,
2019,3,SMI,outgoing,first_timer,Yes,,
2019,3,SMI,outgoing,first_timer,No,,
2019,4,Global,incoming,gender,Men,35,92.1
2019,4,Global,incoming,gender,Women,3,7.9
2019,4,Global,incoming,appointment,Internal,27,71.1
2019,4,Global,incoming,appointment,External,11,28.9
2019,4,Global,incoming,first_timer,Yes,33,86.8
2019,4,Global,incoming,first_timer,No,5,13.2
2019,4,Global,outgoing,gender,Men,41,93.2
2019,4,Global,outgoing,gender,Women,3,6.8
2019,4,Global,outgoing,appointment,Internal,31,70.5
2019,4,Global,outgoing,appointment,External,13,29.5
2019,4,Global,outgoing,first_timer,Yes,38,86.4
2019,4,Global,outgoing,first_timer,No,6,13.6
2019,4,SP500,incoming,gender,Men,16,100.0
2019,4,SP500,incoming,gender,Women,0,0.0
2019,4,SP500,incoming,appointment,Internal,12,75.0
2019,4,SP500,incoming,appointment,External,4,25.0
2019,4,SP500,incoming,first_timer,Yes,,
2019,4,SP500,incoming,first_timer,No,,
2019,4,SP500,outgoing,gender,Men,17,100.0
2019,4,SP500,outgoing,gender,Women,0,0.0
2019,4,SP500,outgoing,appointment,Internal,14,82.4
2019,4,SP500,outgoing,appointment,External,3,17.6
2019,4,SP500,outgoing,first_timer,Yes,,
2019,4,SP500,outgoing,first_timer,No,,
2019,4,FTSE100,incoming,gender,Men,,
2019,4,FTSE100,incoming,gender,Women,,
2019,4,FTSE100,incoming,appointment,Internal,,
2019,4,FTSE100,incoming,appointment,External,,
2019,4,FTSE100,incoming,first_timer,Yes,,
2019,4,FTSE100,incoming,first_timer,No,,
2019,4,FTSE100,outgoing,gender,Men,,
2019,4,FTSE100,outgoing,gender,Women,,
2019,4,FTSE100,outgoing,appointment,Internal,,
2019,4,FTSE100,outgoing,appointment,External,,
2019,4,FTSE100,outgoing,first_timer,Yes,,
2019,4,FTSE100,outgoing,first_timer,No,,
2019,4,ASX200,incoming,gender,Men,,
2019,4,ASX200,incoming,gender,Women,,
2019,4,ASX200,incoming,appointment,Internal,,
2019,4,ASX200,incoming,appointment,External,,
2019,4,ASX200,incoming,first_timer,Yes,,
2019,4,ASX200,incoming,first_timer,No,,
2019,4,ASX200,outgoing,gender,Men,,
2019,4,ASX200,outgoing,gender,Women,,
2019,4,ASX200,outgoing,appointment,Internal,,
2019,4,ASX200,outgoing,appointment,External,,
2019,4,ASX200,outgoing,first_timer,Yes,,
2019,4,ASX200,outgoing,first_timer,No,,
2019,4,CAC40,incoming,gender,Men,,
2019,4,CAC40,incoming,gender,Women,,
