year,quarter,scope,segment,company_count
2020,2,industry,Financial Services,465
2020,2,industry,Healthcare,111
2020,2,industry,Industrial,743
2020,2,industry,Technology,215
2020,3,industry,Global,1855
2020,3,industry,Consumer,321
2020,3,industry,Financial Services,465
2020,3,industry,Healthcare,111
2020,3,industry,Industrial,743
2020,3,industry,Technology,215
2020,4,industry,Global,1855
2020,4,industry,Consumer,321
2020,4,industry,Financial Services,465
2020,4,industry,Healthcare,111
2020,4,industry,Industrial,743
2020,4,industry,Technology,215
2021,1,industry,Global,1855
2021,1,industry,Consumer,321
2021,1,industry,Financial Services,465
2021,1,industry,Healthcare,111
2021,1,industry,Industrial,743
2021,1,industry,Technology,215
2021,2,industry,Global,1855
2021,2,industry,Consumer,321
2021,2,industry,Financial Services,465
2021,2,industry,Healthcare,111
2021,2,industry,Industrial,743
2021,2,industry,Technology,215
2021,3,industry,Global,1855
2021,3,industry,Consumer,321
2021,3,industry,Financial Services,465
2021,3,industry,Healthcare,111
2021,3,industry,Industrial,743
2021,3,industry,Technology,215
2021,4,industry,Global,1855
2021,4,industry,Consumer,321
2021,4,industry,Financial Services,465
2021,4,industry,Healthcare,111
2021,4,industry,Industrial,743
2021,4,industry,Technology,215
2022,1,industry,Global,1855
2022,1,industry,Consumer,321
2022,1,industry,Financial Services,465
2022,1,industry,Healthcare,111
2022,1,industry,Industrial,743
2022,1,industry,Technology,215
2022,2,industry,Global,1855
2022,2,industry,Consumer,321
2022,2,industry,Financial Services,465
2022,2,industry,Healthcare,111
2022,2,industry,Industrial,743
2022,2,industry,Technology,215
2022,3,industry,Global,1855
2022,3,industry,Consumer,321
2022,3,industry,Financial Services,465
2022,3,industry,Healthcare,111
2022,3,industry,Industrial,743
2022,3,industry,Technology,215
2022,4,industry,Global,1855
2022,4,industry,Consumer,321
2022,4,industry,Financial Services,465
2022,4,industry,Healthcare,111
2022,4,industry,Industrial,743
2022,4,industry,Technology,215
2023,1,industry,Global,1855
2023,1,industry,Consumer,321
2023,1,industry,Financial Services,465
2023,1,industry,Healthcare,111
2023,1,industry,Industrial,743
2023,1,industry,Technology,215
2023,2,industry,Global,1842
2023,2,industry,Consumer,319
2023,2,industry,Financial Services,462
